"V1";"V2"
2013-04-13;55
2013-04-14;55.0016666666667
2013-04-15;55.0033333333333
2013-04-16;55.005
2013-04-17;55.0066666666667
2013-04-18;55.0083333333333
2013-04-19;55.01
2013-04-20;54.8385106382979
2013-04-21;54.6670212765957
2013-04-22;54.4955319148936
2013-04-23;54.3240425531915
2013-04-24;54.1525531914894
2013-04-25;53.9810638297872
2013-04-26;53.8095744680851
2013-04-27;53.638085106383
2013-04-28;53.4665957446809
2013-04-29;53.2951063829787
2013-04-30;53.1236170212766
2013-05-01;52.9521276595745
2013-05-02;52.7806382978723
2013-05-03;52.6091489361702
2013-05-04;52.4376595744681
2013-05-05;52.266170212766
2013-05-06;52.0946808510638
2013-05-07;51.9231914893617
2013-05-08;51.7517021276596
2013-05-09;51.5802127659574
2013-05-10;51.4087234042553
2013-05-11;51.2372340425532
2013-05-12;51.0657446808511
2013-05-13;50.8942553191489
2013-05-14;50.7227659574468
2013-05-15;50.5512765957447
2013-05-16;50.3797872340426
2013-05-17;50.2082978723404
2013-05-18;50.0368085106383
2013-05-19;49.8653191489362
2013-05-20;49.693829787234
2013-05-21;49.5223404255319
2013-05-22;49.3508510638298
2013-05-23;49.1793617021277
2013-05-24;49.0078723404255
2013-05-25;48.8363829787234
2013-05-26;48.6648936170213
2013-05-27;48.4934042553191
2013-05-28;48.321914893617
2013-05-29;48.1504255319149
2013-05-30;47.9789361702128
2013-05-31;47.8074468085106
2013-06-01;47.6359574468085
2013-06-02;47.4644680851064
2013-06-03;47.2929787234043
2013-06-04;47.1214893617021
2013-06-05;46.95
2013-06-06;47.2844444444444
2013-06-07;47.6188888888889
2013-06-08;47.9533333333333
2013-06-09;48.2877777777778
2013-06-10;48.6222222222222
2013-06-11;48.9566666666667
2013-06-12;49.2911111111111
2013-06-13;49.6255555555556
2013-06-14;49.96
2013-06-15;50.2944444444444
2013-06-16;50.6288888888889
2013-06-17;50.9633333333333
2013-06-18;51.2977777777778
2013-06-19;51.6322222222222
2013-06-20;51.9666666666667
2013-06-21;52.3011111111111
2013-06-22;52.6355555555556
2013-06-23;52.97
2013-06-24;53.3044444444444
2013-06-25;53.6388888888889
2013-06-26;53.9733333333333
2013-06-27;54.3077777777778
2013-06-28;54.6422222222222
2013-06-29;54.9766666666667
2013-06-30;55.3111111111111
2013-07-01;55.6455555555556
2013-07-02;55.98
2013-07-03;52.876
2013-07-04;49.772
2013-07-05;46.668
2013-07-06;43.564
2013-07-07;40.46
2013-07-08;37.356
2013-07-09;34.252
2013-07-10;31.148
2013-07-11;28.044
2013-07-12;24.94
2013-07-13;21.836
2013-07-14;18.732
2013-07-15;15.628
2013-07-16;12.524
2013-07-17;9.42
2013-07-18;9.20066666666667
2013-07-19;8.98133333333333
2013-07-20;8.762
2013-07-21;8.54266666666667
2013-07-22;8.32333333333333
2013-07-23;8.104
2013-07-24;7.88466666666667
2013-07-25;7.66533333333333
2013-07-26;7.446
2013-07-27;7.22666666666667
2013-07-28;7.00733333333333
2013-07-29;6.788
2013-07-30;6.56866666666667
2013-07-31;6.34933333333333
2013-08-01;6.13
