simulation_number,year,DoY,iPAR,iPARE,LAIsunlit,LAIshaded,aPARtot,aPARsun,aPARsha,aPARCabtot,aPARCabsun,aPARCabsha,aPARCartot,aPARCarsun,aPARCarsha,aPARtotE,aPARsunE,aPARshaE,aPARCabtotE,aPARCabsunE,aPARCabshaE,aPARCartotE,aPARCarsunE,aPARCarshaE
#,,,umol m-2 s-1,W m-2,m2m-2,m2m-2,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2
80,0,0,1.322893e+03,2.897795e+02,1.250910e+00,2.679090e+00,1.201576e+03,9.653556e+02,2.362203e+02,7.997548e+02,6.397684e+02,1.599864e+02,2.230981e+02,1.763861e+02,4.671206e+01,2.635212e+02,2.109642e+02,5.255699e+01,1.640722e+02,1.311204e+02,3.295176e+01,5.605494e+01,4.429910e+01,1.175584e+01
81,0,0,1.225516e+03,2.684830e+02,1.158275e+00,4.281725e+00,1.137507e+03,9.160284e+02,2.214785e+02,8.990059e+02,7.206221e+02,1.783838e+02,1.174842e+02,9.159896e+01,2.588529e+01,2.492917e+02,1.996581e+02,4.963361e+01,1.881656e+02,1.504454e+02,3.772024e+01,2.935597e+01,2.288113e+01,6.474847e+00
82,0,0,1.256633e+03,2.752962e+02,1.048426e+00,5.321574e+00,1.174909e+03,9.368181e+02,2.380905e+02,8.395363e+02,6.662205e+02,1.733158e+02,1.824484e+02,1.411971e+02,4.125121e+01,2.575096e+02,2.041923e+02,5.331726e+01,1.738104e+02,1.376037e+02,3.620668e+01,4.578559e+01,3.540362e+01,1.038198e+01
83,0,0,1.440834e+03,3.156573e+02,1.304367e+00,1.115633e+00,1.144444e+03,9.639435e+02,1.805001e+02,9.567391e+02,8.006385e+02,1.561005e+02,2.161951e+02,1.791832e+02,3.701187e+01,2.509082e+02,2.106881e+02,4.022010e+01,1.967365e+02,1.645563e+02,3.218020e+01,5.396744e+01,4.470492e+01,9.262520e+00
84,0,0,3.180609e+02,6.966652e+01,1.936482e+00,4.043518e+00,2.926777e+02,2.418726e+02,5.080510e+01,1.919524e+02,1.523604e+02,3.959207e+01,9.747392e+01,8.140021e+01,1.607371e+01,6.425451e+01,5.308859e+01,1.116592e+01,3.761893e+01,3.000981e+01,7.609117e+00,2.452543e+01,2.047009e+01,4.055336e+00
85,0,0,1.296146e+03,2.839286e+02,1.208982e+00,5.110182e-01,8.270980e+02,7.201411e+02,1.069569e+02,5.072135e+02,4.418237e+02,6.538984e+01,2.086677e+02,1.803441e+02,2.832354e+01,1.817708e+02,1.580228e+02,2.374796e+01,1.025696e+02,8.927463e+01,1.329497e+01,5.261947e+01,4.545089e+01,7.168579e+00
86,0,0,9.440712e+02,2.068362e+02,1.035176e+00,1.294824e+00,8.019574e+02,6.666330e+02,1.353244e+02,5.688946e+02,4.739497e+02,9.494499e+01,1.581330e+02,1.279293e+02,3.020374e+01,1.756165e+02,1.452866e+02,3.032994e+01,1.163023e+02,9.659480e+01,1.970751e+01,3.968757e+01,3.205837e+01,7.629204e+00
87,0,0,1.516648e+03,3.315380e+02,1.329081e+00,3.080919e+00,1.121670e+03,7.977040e+02,3.239658e+02,2.450803e+02,1.490517e+02,9.602861e+01,5.229672e+02,4.158702e+02,1.070970e+02,2.527343e+02,1.828151e+02,6.991925e+01,4.622579e+01,2.830177e+01,1.792401e+01,1.321321e+02,1.050650e+02,2.706704e+01
88,0,0,8.010378e+02,1.754624e+02,1.487996e+00,3.862004e+00,7.410161e+02,5.896910e+02,1.513251e+02,4.410256e+02,3.403800e+02,1.006456e+02,2.483190e+02,2.011212e+02,4.719780e+01,1.625652e+02,1.294109e+02,3.315432e+01,8.669567e+01,6.710790e+01,1.958777e+01,6.238228e+01,5.050594e+01,1.187634e+01
89,0,0,1.665232e+03,3.647944e+02,1.245350e+00,1.404650e+00,1.388813e+03,1.158418e+03,2.303942e+02,9.716992e+02,8.094362e+02,1.622631e+02,3.268508e+02,2.675663e+02,5.928445e+01,3.045534e+02,2.531035e+02,5.144986e+01,1.973945e+02,1.641770e+02,3.321754e+01,8.204298e+01,6.709081e+01,1.495217e+01
90,0,0,6.469452e+02,1.417383e+02,9.266126e-01,1.143387e+00,5.372120e+02,4.434216e+02,9.379039e+01,3.906381e+02,3.227857e+02,6.785242e+01,8.998107e+01,7.234777e+01,1.763330e+01,1.176443e+02,9.664641e+01,2.099791e+01,8.042145e+01,6.624889e+01,1.417255e+01,2.257053e+01,1.812410e+01,4.446436e+00
91,0,0,9.887039e+02,2.166084e+02,7.319692e-01,4.380308e-01,6.527187e+02,5.613213e+02,9.139740e+01,5.731334e+02,4.932274e+02,7.990604e+01,5.476498e+01,4.620554e+01,8.559440e+00,1.427486e+02,1.223487e+02,2.039998e+01,1.202646e+02,1.032041e+02,1.706048e+01,1.364079e+01,1.149828e+01,2.142511e+00
92,0,0,2.563900e+02,5.616672e+01,5.300043e-01,1.199957e-01,1.062706e+02,9.677915e+01,9.491464e+00,8.827815e+01,8.046260e+01,7.815546e+00,4.411410e+00,3.985101e+00,4.263088e-01,2.325891e+01,2.115131e+01,2.107596e+00,1.867404e+01,1.699581e+01,1.678228e+00,1.104216e+00,9.970817e-01,1.071341e-01
93,0,0,1.681987e+03,3.684721e+02,1.376818e+00,8.731819e-01,1.185953e+03,9.978546e+02,1.880981e+02,8.135125e+02,6.850707e+02,1.284418e+02,3.285028e+01,2.736240e+01,5.487884e+00,2.605991e+02,2.188881e+02,4.171106e+01,1.728654e+02,1.454148e+02,2.745053e+01,8.263635e+00,6.885054e+00,1.378581e+00
94,0,0,6.274903e+02,1.373889e+02,1.001291e+00,7.387094e-01,4.245807e+02,3.489817e+02,7.559905e+01,6.043120e+01,4.927291e+01,1.115829e+01,1.374941e+02,1.140097e+02,2.348437e+01,9.410848e+01,7.740442e+01,1.670406e+01,1.171412e+01,9.557063e+00,2.157060e+00,3.495912e+01,2.896190e+01,5.997225e+00
95,0,0,5.016906e+02,1.098879e+02,9.911019e-01,3.878898e+00,4.689745e+02,3.643234e+02,1.046511e+02,3.293416e+02,2.496240e+02,7.971760e+01,1.481667e+02,1.136469e+02,3.451973e+01,1.028632e+02,7.958488e+01,2.327833e+01,6.541139e+01,4.967401e+01,1.573738e+01,3.715291e+01,2.846207e+01,8.690840e+00
96,0,0,1.694440e+03,3.712260e+02,1.400413e+00,4.729587e+00,1.612408e+03,1.342159e+03,2.702487e+02,1.162602e+03,9.619535e+02,2.006482e+02,2.655583e+02,2.151022e+02,5.045606e+01,3.531248e+02,2.924935e+02,6.063134e+01,2.389200e+02,1.973518e+02,4.156817e+01,6.662937e+01,5.390431e+01,1.272507e+01
97,0,0,3.694876e+02,8.094932e+01,9.908627e-01,3.049137e+00,3.526890e+02,2.814969e+02,7.119213e+01,2.603700e+02,2.074050e+02,5.296499e+01,6.313384e+01,4.861211e+01,1.452174e+01,7.725191e+01,6.126191e+01,1.598999e+01,5.349391e+01,4.246962e+01,1.102429e+01,1.581194e+01,1.215477e+01,3.657173e+00
98,0,0,5.862016e+02,1.283615e+02,1.171241e+00,2.198759e+00,4.998442e+02,3.831005e+02,1.167437e+02,2.240108e+02,1.682339e+02,5.577691e+01,1.631724e+02,1.286606e+02,3.451176e+01,1.101529e+02,8.461187e+01,2.554101e+01,4.420772e+01,3.326882e+01,1.093890e+01,4.119030e+01,3.246976e+01,8.720547e+00
99,0,0,2.228526e+02,4.878576e+01,9.841494e-01,1.065851e+00,1.616392e+02,1.272729e+02,3.436622e+01,7.131502e+01,5.534684e+01,1.596818e+01,6.573428e+01,5.267828e+01,1.305599e+01,3.586296e+01,2.826781e+01,7.595145e+00,1.393156e+01,1.081520e+01,3.116361e+00,1.656414e+01,1.326493e+01,3.299203e+00
100,0,0,7.117534e+02,1.559372e+02,8.526980e-01,5.973020e-01,5.094252e+02,4.340077e+02,7.541745e+01,3.816573e+02,3.261342e+02,5.552310e+01,9.430978e+01,7.874671e+01,1.556307e+01,1.114999e+02,9.465269e+01,1.684717e+01,7.847250e+01,6.687254e+01,1.159996e+01,2.359952e+01,1.968243e+01,3.917096e+00
