simulation_number,year,DoY,iPAR,iPARE,LAIsunlit,LAIshaded,aPARtot,aPARsun,aPARsha,aPARCabtot,aPARCabsun,aPARCabsha,aPARCartot,aPARCarsun,aPARCarsha,aPARtotE,aPARsunE,aPARshaE,aPARCabtotE,aPARCabsunE,aPARCabshaE,aPARCartotE,aPARCarsunE,aPARCarshaE
#,,,umol m-2 s-1,W m-2,m2m-2,m2m-2,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2
27,0,0,1.136161e+03,2.489175e+02,1.707628e+00,4.472372e+00,1.073181e+03,9.076420e+02,1.655389e+02,1.045501e+03,8.727804e+02,1.727206e+02,2.724581e+01,2.228155e+01,4.964258e+00,2.349941e+02,1.978181e+02,3.717598e+01,2.214300e+02,1.847185e+02,3.671144e+01,6.743151e+00,5.515351e+00,1.227800e+00
28,0,0,8.648755e+02,1.894801e+02,1.800958e+00,3.849042e+00,8.080073e+02,6.928847e+02,1.151226e+02,6.294946e+02,5.348846e+02,9.461007e+01,1.514503e+02,1.269246e+02,2.452565e+01,1.769840e+02,1.511498e+02,2.583423e+01,1.287281e+02,1.093292e+02,1.939893e+01,3.794925e+01,3.176676e+01,6.182493e+00
29,0,0,1.165970e+02,2.554505e+01,1.103759e+00,4.406241e+00,1.116107e+02,8.889849e+01,2.271223e+01,1.028573e+02,8.067928e+01,2.217799e+01,3.733418e-01,2.847333e-01,8.860847e-02,2.444692e+01,1.934791e+01,5.099004e+00,2.180256e+01,1.707633e+01,4.726229e+00,9.312634e-02,7.102506e-02,2.210128e-02
30,0,0,1.148696e+03,2.515914e+02,9.394074e-01,4.105926e-01,6.700904e+02,5.792440e+02,9.084641e+01,4.645768e+02,4.016412e+02,6.293558e+01,2.059677e+02,1.768957e+02,2.907202e+01,1.475700e+02,1.273594e+02,2.021058e+01,9.378147e+01,8.100920e+01,1.277226e+01,5.171706e+01,4.439498e+01,7.322083e+00
31,0,0,6.950431e+02,1.522789e+02,1.267654e+00,4.652346e+00,6.632468e+02,5.494852e+02,1.137616e+02,5.129677e+02,4.223931e+02,9.057461e+01,1.125787e+02,9.033635e+01,2.224231e+01,1.452261e+02,1.196386e+02,2.558750e+01,1.054831e+02,8.667204e+01,1.881102e+01,2.816343e+01,2.256565e+01,5.597780e+00
32,0,0,1.576352e+03,3.453539e+02,9.880887e-01,5.319113e-01,1.066293e+03,9.197751e+02,1.465177e+02,9.155359e+02,7.897770e+02,1.257589e+02,6.835198e+01,5.803256e+01,1.031942e+01,2.335895e+02,2.009318e+02,3.265776e+01,1.932310e+02,1.663029e+02,2.692806e+01,1.703296e+01,1.445145e+01,2.581506e+00
33,0,0,4.877825e+02,1.068674e+02,1.593333e+00,2.776667e+00,4.453573e+02,3.768858e+02,6.847148e+01,4.081204e+02,3.423970e+02,6.572343e+01,1.243319e+01,1.023476e+01,2.198433e+00,9.755079e+01,8.218776e+01,1.536304e+01,8.624201e+01,7.223335e+01,1.400866e+01,3.096233e+00,2.547223e+00,5.490101e-01
34,0,0,1.452774e+03,3.182704e+02,1.038431e+00,5.201569e+00,1.384676e+03,1.116563e+03,2.681129e+02,8.319679e+02,6.715041e+02,1.604638e+02,3.222289e+02,2.513277e+02,7.090115e+01,3.033335e+02,2.431528e+02,6.018068e+01,1.675916e+02,1.348978e+02,3.269381e+01,8.127359e+01,6.326210e+01,1.801149e+01
35,0,0,2.347362e+02,5.142830e+01,1.185510e+00,5.724490e+00,2.271152e+02,1.854072e+02,4.170793e+01,1.738954e+02,1.405897e+02,3.330572e+01,4.391776e+01,3.465284e+01,9.264924e+00,4.974193e+01,4.036245e+01,9.379477e+00,3.552867e+01,2.868286e+01,6.845806e+00,1.100537e+01,8.668850e+00,2.336520e+00
36,0,0,1.413239e+03,3.096189e+02,1.027985e+00,8.020153e-01,1.071546e+03,9.061910e+02,1.653552e+02,8.337027e+02,7.048049e+02,1.288978e+02,2.347500e+02,1.948294e+02,3.992069e+01,2.347352e+02,1.978163e+02,3.691890e+01,1.701670e+02,1.436030e+02,2.656400e+01,5.868216e+01,4.865198e+01,1.003018e+01
37,0,0,1.043739e+03,2.286609e+02,6.009244e-01,3.430756e-01,6.464301e+02,5.595225e+02,8.690756e+01,6.127920e+02,5.305328e+02,8.225917e+01,3.249130e+01,2.758482e+01,4.906480e+00,1.412074e+02,1.218131e+02,1.939426e+01,1.292077e+02,1.115427e+02,1.766507e+01,8.062493e+00,6.839433e+00,1.223060e+00
38,0,0,1.344738e+03,2.946259e+02,1.045267e+00,1.954733e+00,1.217499e+03,9.956157e+02,2.218829e+02,9.089575e+02,7.395299e+02,1.694276e+02,2.613416e+02,2.075949e+02,5.374672e+01,2.665938e+02,2.168480e+02,4.974578e+01,1.849842e+02,1.502315e+02,3.475273e+01,6.551315e+01,5.196020e+01,1.355295e+01
39,0,0,2.778884e+01,6.087447e+00,1.414639e+00,8.453614e-01,2.038394e+01,1.742922e+01,2.954714e+00,1.262120e+01,1.079981e+01,1.821390e+00,4.521051e+00,3.827996e+00,6.930552e-01,4.477806e+00,3.821026e+00,6.567804e-01,2.575738e+00,2.201411e+00,3.743267e-01,1.137637e+00,9.626365e-01,1.750004e-01
