F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
5.873373e-02,688,2.802620e-01,745,5.460085e-02,1.907932e-01,1.702468e-02,5.258930e-02,2.883899e-01
1.341817e-01,688,1.696640e-01,740,1.225750e-01,9.594101e-02,1.376447e-02,4.206836e-02,1.184072e-01
NaN,NaN,2.143047e-01,741,7.196163e-02,1.218959e-01,1.479305e-02,6.634115e-02,2.111525e-01
2.420474e-01,688,1.504134e+00,745,2.232826e-01,1.039460e+00,8.734212e-02,2.847707e-01,1.470968e+00
3.778014e-01,688,1.331461e+00,743,3.436461e-01,8.469615e-01,8.562905e-02,2.599456e-01,1.600519e+00
1.367338e-01,688,6.754453e-01,744,1.258268e-01,4.560192e-01,4.069652e-02,2.361224e-01,1.581544e+00
NaN,NaN,5.743014e-01,741,1.555577e-01,3.304804e-01,3.761384e-02,1.264716e-01,4.178550e-01
1.052806e-01,688,3.429532e-01,742,9.683014e-02,2.102233e-01,2.234294e-02,6.619783e-02,3.519103e-01
3.798666e-01,689,1.859322e+00,743,3.479452e-01,1.180191e+00,1.115828e-01,3.152703e-01,1.490084e+00
6.861794e-02,686,5.819770e-02,740,6.714263e-02,3.281739e-02,5.306166e-03,1.803258e-02,5.339614e-02
9.189574e-02,689,3.960775e-01,743,8.402883e-02,2.527476e-01,2.472524e-02,8.930932e-02,5.417866e-01
NaN,NaN,7.066159e-01,741,2.155039e-01,4.121495e-01,4.761951e-02,1.543362e-01,6.173840e-01
1.542696e-01,688,9.922079e-01,744,1.417759e-01,6.584113e-01,5.794970e-02,2.233404e-01,1.252485e+00
6.907504e-02,688,3.109539e-01,744,6.444370e-02,2.043019e-01,1.900180e-02,6.228508e-02,3.316263e-01
NaN,NaN,1.354776e+00,741,3.646984e-01,7.890381e-01,8.915400e-02,2.861212e-01,1.081988e+00
2.935788e-01,688,1.701736e+00,745,2.733769e-01,1.153606e+00,1.001373e-01,3.413315e-01,2.191118e+00
4.804631e-01,690,1.399005e+00,742,4.230656e-01,8.483628e-01,9.371790e-02,2.806882e-01,1.443280e+00
3.346726e-02,690,6.943379e-02,741,2.835512e-02,4.019634e-02,4.964021e-03,1.597280e-02,6.304500e-02
1.653402e-02,688,5.720523e-02,744,1.527078e-02,3.844717e-02,3.654025e-03,1.091665e-02,7.212229e-02
NaN,NaN,2.638394e+00,742,5.138692e-01,1.594013e+00,1.612515e-01,5.388581e-01,2.014922e+00
2.225750e-01,689,9.645918e-01,743,1.999057e-01,6.195566e-01,6.030844e-02,1.872351e-01,9.438302e-01
2.353670e-01,689,1.235806e+00,743,2.135992e-01,7.558341e-01,7.304421e-02,3.174568e-01,1.156765e+00
