simulation_number,nu_iterations,year,DoY,Rnctot,lEctot,Hctot,Actot,Tcave,Rnstot,lEstot,Hstot,Gtot,Tsave,Rntot,lEtot,Htot
#,,,,W m-2,W m-2,W m-2,umol m-2 s-1,C,W m-2,W m-2,W m-2,W m-2,C,W m-2, W m-2,W m-2
28,7,0,0,2.581628e+02,1.310315e+02,1.266416e+02,2.323703e+01,1.903960e+01,2.384451e+01,1.158956e+01,3.633738e+00,8.345579e+00,2.776199e+01,2.820073e+02,1.426211e+02,1.302754e+02
29,46,0,0,1.582840e+01,1.683156e+01,-3.222093e+00,-4.139064e-01,3.201781e+01,9.621835e+00,4.726386e+00,5.934973e-01,3.367642e+00,4.369559e+01,2.545023e+01,2.155795e+01,-2.628596e+00
30,6,0,0,1.691129e+02,4.358155e+01,1.265919e+02,1.298833e+01,8.204003e+00,1.858941e+02,3.549133e+01,8.585799e+01,6.506295e+01,1.494182e+01,3.550070e+02,7.907288e+01,2.124499e+02
31,6,0,0,2.598981e+02,8.586478e+01,1.734277e+02,1.522424e+01,9.349285e+00,9.944631e+00,3.787678e+00,2.195922e+00,3.480621e+00,1.435548e+01,2.698428e+02,8.965245e+01,1.756236e+02
32,6,0,0,2.459981e+02,2.465368e+02,-1.285812e-01,2.761833e+01,2.659671e+01,2.088064e+02,8.612642e+01,4.976087e+01,7.308224e+01,3.376851e+01,4.548045e+02,3.326632e+02,4.963229e+01
33,12,0,0,7.406983e+01,7.991197e+01,-5.493699e+00,1.025669e+01,2.723948e+01,3.481631e+01,1.947727e+01,3.377012e+00,1.218571e+01,3.232548e+01,1.088861e+02,9.938924e+01,-2.116687e+00
34,7,0,0,4.231665e+02,1.382821e+02,2.847598e+02,8.765383e+00,2.748948e+01,1.639985e+01,8.326841e+00,1.920269e+00,5.739949e+00,3.153511e+01,4.395664e+02,1.466089e+02,2.866801e+02
35,8,0,0,6.308177e+01,4.517627e+01,1.742000e+01,7.679397e-01,2.840295e+01,7.803636e+00,4.241212e+00,6.838099e-01,2.731273e+00,3.551551e+01,7.088541e+01,4.941748e+01,1.810381e+01
36,8,0,0,2.903399e+02,5.424137e+01,2.360815e+02,5.994473e+00,1.223682e+01,1.693023e+02,4.191507e+01,6.808321e+01,5.925581e+01,1.779960e+01,4.596422e+02,9.615644e+01,3.041647e+02
37,7,0,0,1.311425e+02,1.404363e+01,1.167621e+02,3.891198e+00,1.541461e+01,1.581019e+02,3.544265e+01,6.722289e+01,5.533567e+01,1.803811e+01,2.892444e+02,4.948628e+01,1.839850e+02
38,6,0,0,3.016242e+02,2.048463e+02,9.681368e+01,2.480691e+01,2.128605e+01,9.040578e+01,3.967024e+01,1.906930e+01,3.164202e+01,2.647090e+01,3.920300e+02,2.445166e+02,1.158830e+02
39,15,0,0,-1.515159e+00,-2.105231e-03,-4.260796e-03,-3.293901e-01,7.692610e+00,-1.479295e+00,7.043233e-04,-6.395617e-04,-5.177531e-01,1.395071e+01,-2.994453e+00,-1.400907e-03,-4.900358e-03
40,27,0,0,2.339770e+00,2.053467e+00,-1.370457e+00,-1.582631e+00,1.837760e+01,6.299148e+00,2.628024e+00,5.783629e-01,2.204702e+00,2.855138e+01,8.638917e+00,4.681491e+00,-7.920944e-01
41,16,0,0,9.050989e+01,1.030064e+02,-1.296539e+01,1.183419e+01,3.162290e+01,5.997904e+01,3.497355e+01,3.812842e+00,2.099266e+01,3.440075e+01,1.504889e+02,1.379800e+02,-9.152551e+00
42,66,0,0,3.607752e-01,6.412012e-01,-6.760092e-01,8.565041e-01,2.495820e+01,7.737992e+00,4.514918e+00,2.364173e-01,2.708297e+00,3.112309e+01,8.098767e+00,5.156119e+00,-4.395919e-01
43,4,0,0,1.481662e+01,1.963184e+01,-4.792985e+00,7.439905e+00,8.985362e+00,4.221543e+01,1.435294e+01,1.280611e+01,1.477540e+01,1.091283e+01,5.703205e+01,3.398478e+01,8.013125e+00
44,5,0,0,1.805356e+02,1.088802e+02,7.061698e+01,1.377227e+01,2.106473e+01,4.750639e+01,2.306662e+01,7.607568e+00,1.662724e+01,2.653444e+01,2.280420e+02,1.319468e+02,7.822455e+01
45,7,0,0,3.319432e+02,2.598425e+02,7.199789e+01,2.023936e+01,3.138227e+01,4.573902e+01,2.530125e+01,4.332664e+00,1.600866e+01,3.851109e+01,3.776822e+02,2.851438e+02,7.633055e+01
46,6,0,0,2.294753e+02,1.098012e+02,1.197934e+02,1.357268e+01,1.727095e+01,6.095200e+01,2.581892e+01,1.378712e+01,2.133320e+01,2.227754e+01,2.904273e+02,1.356202e+02,1.335805e+02
47,7,0,0,3.056538e+02,1.134409e+02,1.916979e+02,1.812035e+01,1.521540e+01,2.130026e+01,9.719795e+00,3.866223e+00,7.455091e+00,2.266610e+01,3.269541e+02,1.231607e+02,1.955641e+02
48,6,0,0,2.614337e+02,3.530722e+01,2.273586e+02,8.106194e+00,1.555634e+01,7.358952e+01,2.967286e+01,1.827200e+01,2.575633e+01,2.133667e+01,3.350233e+02,6.498008e+01,2.456306e+02
49,7,0,0,3.290734e+02,1.602287e+02,1.678532e+02,6.262765e+00,2.693645e+01,1.363073e+01,6.942748e+00,1.450654e+00,4.770755e+00,3.266871e+01,3.427041e+02,1.671714e+02,1.693038e+02
50,6,0,0,3.131605e+02,3.056460e+02,7.217746e+00,1.643029e+01,3.347278e+01,1.856164e+02,9.719059e+01,2.336765e+01,6.496573e+01,4.076127e+01,4.987769e+02,4.028366e+02,3.058540e+01
51,5,0,0,2.308646e+02,1.046666e+02,1.249776e+02,1.312220e+01,2.803196e+01,5.909903e+01,3.137262e+01,6.567082e+00,2.068466e+01,3.581839e+01,2.899636e+02,1.360392e+02,1.315447e+02
52,6,0,0,5.414163e+01,2.668455e+01,2.659600e+01,1.024162e+00,1.549561e+01,9.609551e+00,4.451021e+00,1.451828e+00,3.363343e+00,2.067827e+01,6.375118e+01,3.113557e+01,2.804783e+01
53,4,0,0,5.621985e+00,1.399327e+01,-8.442843e+00,2.764106e+00,1.321936e+01,5.253660e+01,1.947955e+01,1.440545e+01,1.838781e+01,1.511698e+01,5.815858e+01,3.347282e+01,5.962604e+00
54,17,0,0,-2.982502e-01,5.842667e+00,-6.219582e+00,3.643637e+00,2.142221e+01,3.356331e+01,2.007510e+01,1.275843e+00,1.174716e+01,2.593244e+01,3.326506e+01,2.591777e+01,-4.943740e+00
