simulation_number,year,DoY,Photosynthesis,Electron_transport,NPQ_energy,NPQ_photon,canopy_level_FQE,LST,emis,GPP
#,,,umol CO2 m-2 s-1,umol m-2 s-1,W m-2,umol m-2 s-1,umol photons (umol photons)-1,K,,umol CO2 m-2 s-1
50,0,0,1.642781e+01,1.700266e+02,1.358369e+01,6.811725e+01,1.288365e-02,3.091566e+02,9.771246e-01,1.945989e+01
51,0,0,1.312343e+01,1.376214e+02,1.007184e+01,4.962355e+01,1.327198e-02,3.030136e+02,9.797097e-01,1.614439e+01
52,0,0,1.047544e+00,5.253164e+01,1.737837e-02,8.225851e-02,1.153792e-02,2.882790e+02,9.798777e-01,8.432354e+00
53,0,0,2.762776e+00,2.244756e+01,1.465195e-02,7.256924e-02,1.211366e-02,2.885757e+02,9.657762e-01,3.624378e+00
54,0,0,3.618571e+00,3.555938e+01,9.643619e-02,4.812196e-01,1.329283e-02,2.987777e+02,9.572893e-01,4.644078e+00
55,0,0,7.082497e+00,5.481005e+01,4.076487e+01,1.960519e+02,1.333809e-02,2.958683e+02,9.798212e-01,7.717620e+00
56,0,0,8.379425e+00,7.954350e+01,4.255116e+01,2.013948e+02,1.296755e-02,3.056234e+02,9.796149e-01,9.601108e+00
57,0,0,9.071122e+00,9.196233e+01,4.049400e+01,1.919752e+02,1.277519e-02,3.073682e+02,9.756155e-01,1.029704e+01
58,0,0,6.698727e+00,5.409191e+01,3.494534e+00,1.739394e+01,1.377690e-02,2.979449e+02,9.652824e-01,7.435763e+00
59,0,0,2.899013e+00,2.309828e+01,9.617666e+00,4.735554e+01,1.243554e-02,2.998574e+02,9.684166e-01,3.113105e+00
60,0,0,1.137189e+01,1.018695e+02,3.685255e+01,1.823804e+02,1.272940e-02,3.008688e+02,9.779886e-01,1.268841e+01
61,0,0,-8.600517e-01,1.250146e+01,2.249194e-05,1.184844e-04,1.028339e-02,2.915035e+02,9.776300e-01,2.058715e+00
62,0,0,9.182119e+00,8.301307e+01,6.570213e-01,3.145788e+00,1.388114e-02,2.923201e+02,9.783572e-01,1.205764e+01
63,0,0,1.157391e+01,1.089954e+02,1.992302e-01,9.715525e-01,1.273163e-02,2.940169e+02,9.777732e-01,1.635902e+01
64,0,0,4.003577e+00,3.046222e+01,3.706645e+01,1.796425e+02,1.340775e-02,2.948513e+02,9.718819e-01,4.254566e+00
65,0,0,-8.639295e-01,5.432420e+01,1.844632e-01,8.870634e-01,1.292139e-02,2.964338e+02,9.778887e-01,4.174789e+00
66,0,0,1.214142e+01,9.473589e+01,2.353257e+01,1.206838e+02,1.251218e-02,2.930785e+02,9.793766e-01,1.341485e+01
67,0,0,1.493721e+01,9.635613e+01,6.183597e+01,2.955490e+02,1.307998e-02,2.864622e+02,9.792351e-01,1.584632e+01
68,0,0,2.296701e+01,1.826279e+02,2.208606e+01,1.086091e+02,1.244041e-02,2.959942e+02,9.785949e-01,2.609631e+01
69,0,0,-4.458029e+00,1.451838e+01,2.078310e-05,1.070424e-04,1.023045e-02,2.924047e+02,9.795676e-01,2.413884e+00
70,0,0,-1.881606e+00,1.243865e+01,1.263671e-03,6.087789e-03,1.092120e-02,2.963190e+02,9.797782e-01,1.719168e+00
71,0,0,8.565378e+00,6.244507e+01,6.036204e+01,2.902099e+02,1.317048e-02,2.921386e+02,9.724410e-01,9.078749e+00
72,0,0,1.463173e+01,1.312956e+02,6.765003e+00,3.176872e+01,1.359118e-02,2.927304e+02,9.799022e-01,1.949512e+01
73,0,0,3.454085e+00,4.050079e+01,3.514689e+01,1.656746e+02,1.272318e-02,3.132836e+02,9.579456e-01,3.929729e+00
74,0,0,1.747223e+01,1.822631e+02,4.597092e+01,2.186170e+02,1.201244e-02,3.086836e+02,9.779911e-01,2.011071e+01
75,0,0,2.058830e+01,1.601313e+02,8.640658e+00,4.162280e+01,1.354546e-02,2.885880e+02,9.795242e-01,2.514103e+01
76,0,0,2.020554e+00,3.215538e+01,3.410631e-02,1.649375e-01,1.218722e-02,3.017147e+02,9.799559e-01,4.416893e+00
77,0,0,1.827387e+01,1.474612e+02,1.207477e+00,5.838738e+00,1.390649e-02,2.910563e+02,9.786602e-01,2.266734e+01
78,0,0,2.265058e+01,1.828828e+02,2.725739e+01,1.326306e+02,1.249873e-02,2.988911e+02,9.746789e-01,2.496235e+01
79,0,0,1.038729e+01,6.587396e+01,4.204015e+01,2.038567e+02,1.265182e-02,2.882952e+02,9.621113e-01,1.093356e+01
80,0,0,1.977208e+01,2.429865e+02,1.372468e+01,6.695394e+01,1.325116e-02,3.026752e+02,9.793072e-01,2.722423e+01
81,0,0,2.577711e+01,2.823720e+02,1.412051e+01,6.754442e+01,1.359753e-02,2.980416e+02,9.798537e-01,3.669249e+01
82,0,0,1.078954e+01,1.664517e+02,3.651928e+01,1.767897e+02,1.188290e-02,3.083402e+02,9.799432e-01,1.747515e+01
83,0,0,1.740906e+01,1.779728e+02,4.428618e+01,2.154462e+02,1.214363e-02,3.086003e+02,9.765435e-01,1.991333e+01
84,0,0,-5.657688e-01,7.631549e+01,5.102867e-03,2.579361e-02,1.090951e-02,2.965453e+02,9.798952e-01,1.144042e+01
85,0,0,2.304471e+01,1.719811e+02,3.157353e+00,1.562846e+01,1.461740e-02,2.955960e+02,9.727639e-01,2.585252e+01
86,0,0,2.516429e+00,1.687676e+01,3.825344e+01,1.871297e+02,1.386646e-02,2.887339e+02,9.764395e-01,2.647570e+00
87,0,0,1.876610e+00,8.993011e+01,6.542566e-02,3.449958e-01,1.147869e-02,3.100313e+02,9.795769e-01,9.299731e+00
88,0,0,1.591522e+01,1.101706e+02,1.510746e+01,7.656806e+01,1.230894e-02,2.862148e+02,9.798363e-01,1.782537e+01
89,0,0,2.949366e+01,2.900791e+02,1.750651e+01,8.631156e+01,1.335928e-02,3.036698e+02,9.773003e-01,3.545727e+01
90,0,0,1.195780e+01,7.646770e+01,1.846374e+01,8.991599e+01,1.232115e-02,2.843159e+02,9.753014e-01,1.283161e+01
91,0,0,7.478371e-01,6.662994e+00,3.903366e+01,1.860175e+02,1.398761e-02,3.064198e+02,9.682555e-01,8.085067e-01
92,0,0,2.044727e+00,1.381220e+01,5.129196e+00,2.426249e+01,1.208876e-02,2.906110e+02,9.591624e-01,2.160052e+00
93,0,0,2.164296e+01,2.309447e+02,1.994499e+01,9.395955e+01,1.322874e-02,3.024456e+02,9.758744e-01,2.557195e+01
94,0,0,1.229791e+00,2.411283e+01,7.587650e-04,3.914029e-03,1.076135e-02,2.919448e+02,9.733902e-01,3.722168e+00
95,0,0,4.003085e+00,3.233047e+01,1.858906e+01,9.332924e+01,1.330199e-02,3.001545e+02,9.797296e-01,4.417849e+00
96,0,0,1.063220e+01,8.602506e+01,7.287374e+01,3.542737e+02,1.338859e-02,2.943208e+02,9.799343e-01,1.167704e+01
97,0,0,5.614924e+00,9.104675e+01,9.678791e-01,4.728074e+00,1.367443e-02,3.037899e+02,9.792675e-01,1.065252e+01
98,0,0,1.029965e+01,7.605858e+01,1.598861e+00,8.080263e+00,1.410823e-02,2.828201e+02,9.787679e-01,1.212019e+01
99,0,0,1.450901e+00,2.765867e+01,1.420334e-02,7.261343e-02,1.185394e-02,2.957307e+02,9.743505e-01,3.370674e+00
100,0,0,6.955919e+00,7.173328e+01,1.832022e+01,8.932549e+01,1.229312e-02,3.027419e+02,9.711768e-01,7.918305e+00
