441	1.4977	0.07048	1.66E-01	4.84E-01	1.05E-04	1.04E+01	1.34E+00	0	0	0.40132	-0.15132	0.1784
442	1.4974	0.06963	1.65E-01	4.83E-01	1.06E-04	9.92E+00	1.34E+00	0	0	0.40471	-0.15262	0.17911
443	1.4972	0.06883	1.65E-01	4.82E-01	1.07E-04	9.41E+00	1.34E+00	0	0	0.408	-0.15391	0.17985
444	1.4969	0.06789	1.64E-01	4.81E-01	1.08E-04	8.95E+00	1.34E+00	0	0	0.41119	-0.1552	0.18063
445	1.4967	0.06685	1.63E-01	4.79E-01	1.09E-04	8.51E+00	1.34E+00	0	0	0.41428	-0.15649	0.18145
446	1.4965	0.06583	1.62E-01	4.78E-01	1.10E-04	8.09E+00	1.34E+00	0	0	0.41725	-0.15777	0.18232
447	1.4962	0.0648	1.62E-01	4.77E-01	1.11E-04	7.64E+00	1.34E+00	0	0	0.42009	-0.15905	0.18324
448	1.496	0.06358	1.61E-01	4.76E-01	1.12E-04	7.27E+00	1.34E+00	0	0	0.42281	-0.16032	0.1842
449	1.4958	0.06225	1.59E-01	4.75E-01	1.13E-04	6.94E+00	1.34E+00	0	0	0.42539	-0.16159	0.18522
450	1.4955	0.0609	1.58E-01	4.73E-01	1.14E-04	6.66E+00	1.34E+00	0	0	0.42783	-0.16285	0.18629
451	1.4953	0.05956	1.56E-01	4.72E-01	1.15E-04	6.42E+00	1.34E+00	0	0	0.43011	-0.16411	0.18742
452	1.4951	0.05812	1.54E-01	4.71E-01	1.16E-04	6.22E+00	1.34E+00	0	0	0.43226	-0.16536	0.1886
453	1.4949	0.05677	1.53E-01	4.70E-01	1.17E-04	6.01E+00	1.34E+00	0	0	0.43427	-0.1666	0.18983
454	1.4947	0.05553	1.51E-01	4.68E-01	1.18E-04	5.78E+00	1.34E+00	0	0	0.43615	-0.16783	0.1911
455	1.4945	0.05439	1.50E-01	4.67E-01	1.19E-04	5.57E+00	1.34E+00	0	0	0.43791	-0.16905	0.1924
456	1.4944	0.0533	1.48E-01	4.66E-01	1.20E-04	5.37E+00	1.34E+00	0	0	0.43956	-0.17026	0.19373
457	1.4942	0.05224	1.47E-01	4.65E-01	1.21E-04	5.17E+00	1.34E+00	0	0	0.4411	-0.17145	0.19508
458	1.494	0.05134	1.45E-01	4.63E-01	1.22E-04	4.95E+00	1.34E+00	0	0	0.44256	-0.17262	0.19645
