400	1.5135	0.02676	0.2895	0.5272	0.000058	109.7	1.3369	0	0	0.28689	-0.094828	0.14205	0.2895	0.2895
401	1.5131	0.03113	0.2796	0.5262	0.00005852	103.7	1.3369	0	0	0.28886	-0.096371	0.14343	0.279597346	0.2796
402	1.5126	0.03561	0.2693	0.5252	0.000059	97.98	1.3369	0	0	0.29083	-0.097905	0.14478	0.269297218	0.2693
403	1.5121	0.03972	0.2601	0.5242	0.00005989	92.44	1.3369	0	0	0.29283	-0.099431	0.14609	0.260097305	0.2601
404	1.5116	0.04321	0.2525	0.5232	0.000061	87.13	1.3369	0	0	0.29483	-0.10095	0.14737	0.252497133	0.2525
405	1.5111	0.04606	0.2456	0.5222	0.00006203	82.31	1.3369	0	0	0.29686	-0.10245	0.14862	0.245597373	0.2456
406	1.5105	0.04815	0.2402	0.5212	0.000063	78.06	1.3369	0	0	0.2989	-0.10395	0.14985	0.240197154	0.2402
407	1.51	0.05007	0.2352	0.5202	0.00006399	74.04	1.3369	0	0	0.30097	-0.10544	0.15104	0.23519674	0.2352
408	1.5095	0.05189	0.2303	0.5192	0.000065	70.13	1.3369	0	0	0.30307	-0.10692	0.1522	0.230296269	0.2303
409	1.5089	0.05346	0.2255	0.5182	0.00006603	66.54	1.3369	0	0	0.3052	-0.10839	0.15334	0.225495282	0.2255
410	1.5084	0.05526	0.2203	0.5172	0.000067	63	1.3369	0	0	0.30735	-0.10985	0.15444	0.220294497	0.2203
411	1.5078	0.05721	0.2151	0.5162	0.0000679	59.54	1.3369	0	0	0.30955	-0.11129	0.15552	0.215094327	0.2151
412	1.5073	0.05891	0.2105	0.5152	0.000069	56.16	1.3369	0	0	0.31178	-0.11273	0.15658	0.210494829	0.2105
413	1.5068	0.06004	0.2069	0.5142	0.0000705	53	1.3369	0	0	0.31405	-0.11416	0.15761	0.206894316	0.2069
414	1.5062	0.061	0.2035	0.5132	0.000072	50.01	1.3369	0	0	0.31637	-0.11558	0.15862	0.203493584	0.2035
415	1.5057	0.06189	0.2002	0.5122	0.00007312	47.23	1.3369	0	0	0.31873	-0.11698	0.1596	0.200192996	0.2002
416	1.5052	0.06259	0.1971	0.5112	0.000074	44.63	1.3369	0	0	0.32114	-0.11838	0.16056	0.197092654	0.1971
417	1.5047	0.06318	0.1943	0.5102	0.0000749	42.2	1.3369	0	0	0.32361	-0.11976	0.1615	0.194291172	0.1943
418	1.5043	0.06367	0.1914	0.5092	0.000076	39.96	1.3369	0	0	0.32612	-0.12113	0.16242	0.191391175	0.1914
419	1.5038	0.06416	0.1889	0.5082	0.0000774	37.8	1.3369	0	0	0.3287	-0.12249	0.16331	0.188890592	0.1889
420	1.5034	0.06475	0.1866	0.5072	0.000079	35.67	1.3369	0	0	0.33134	-0.12384	0.16419	0.186589581	0.1866
421	1.503	0.06555	0.1844	0.5062	0.00008063	33.62	1.3369	0	0	0.33404	-0.12518	0.16505	0.184388492	0.1844
422	1.5026	0.06628	0.1823	0.5052	0.000082	31.7	1.3369	0	0	0.33681	-0.12651	0.16589	0.182288595	0.1823
423	1.5023	0.0669	0.1805	0.5042	0.00008297	29.93	1.3369	0	0	0.33964	-0.12783	0.1667	0.180490483	0.1805
424	1.502	0.06718	0.1792	0.5032	0.000084	28.32	1.3369	0	0	0.34255	-0.12914	0.1675	0.179187322	0.1792
425	1.5016	0.06747	0.1777	0.5022	0.00008551	26.79	1.3369	0	0	0.34554	-0.13044	0.16827	0.177685374	0.1777
426	1.5013	0.06795	0.1762	0.5012	0.000087	25.35	1.3369	0	0	0.3486	-0.13175	0.16902	0.176183138	0.1762
427	1.5011	0.06854	0.1747	0.5002	0.000088	24.02	1.3369	0	0	0.35174	-0.13305	0.16975	0.174684459	0.1747
428	1.5008	0.06897	0.1735	0.4992	0.000089	22.76	1.3369	0	0	0.35496	-0.13434	0.17045	0.173483601	0.1735
429	1.5005	0.06931	0.1724	0.4982	0.0000905	21.5	1.3369	0	0	0.35827	-0.13564	0.17113	0.172384566	0.1724
430	1.5003	0.06979	0.1715	0.4972	0.000092	20.24	1.3369	0	0	0.36167	-0.13694	0.17177	0.17148423	0.1715
431	1.5	0.07037	0.1707	0.496	0.000093	19.01	1.3369	0	0	0.36516	-0.13824	0.1724	0.170686415	0.1707
432	1.4998	0.07082	0.1701	0.4948	0.000094	17.85	1.3369	0	0	0.36872	-0.13955	0.173	0.170081811	0.1701
433	1.4995	0.07114	0.1694	0.4936	0.0000955	16.76	1.3369	0	0	0.37234	-0.14086	0.17358	0.169382121	0.1694
434	1.4993	0.07141	0.1688	0.4924	0.000097	15.75	1.3369	0	0	0.376	-0.14217	0.17416	0.168779513	0.1688
435	1.4991	0.0716	0.1682	0.4912	0.00009801	14.81	1.3369	0	0	0.37968	-0.14348	0.17473	0.168184363	0.1682
436	1.4988	0.07174	0.1678	0.49	0.000099	13.92	1.3369	0	0	0.38337	-0.14479	0.1753	0.167782112	0.1678
437	1.4986	0.07177	0.1674	0.4888	0.0001005	13.12	1.3369	0	0	0.38705	-0.1461	0.17588	0.167379555	0.1674
438	1.4984	0.07171	0.167	0.4876	0.000102	12.33	1.3369	0	0	0.3907	-0.14741	0.17648	0.16698249	0.167
439	1.4981	0.07155	0.1667	0.4864	0.0001031	11.61	1.3369	0	0	0.39431	-0.14871	0.17709	0.166680023	0.1667
440	1.4979	0.0712	0.1664	0.4852	0.000104	10.96	1.3369	0	0	0.39785	-0.15002	0.17773	0.166362052	0.1664
