f_date,t,Rin,Rli,p,Ta,u,ea
20060617165959,168.70833,524.72862,278.28767,1012,22.92931,1.4884138,10.903176
20060617172959,168.72916,444.59664,274.63754,1012,22.782333,2.1374,11.582992
20060617180000,168.75,356.75127,274.06826,1012,22.417742,1.8549677,12.032756
20060617182959,168.77083,271.16102,271.87807,1012,21.856897,2.263931,12.118245
20060617185959,168.79166,190.03225,271.07008,1012,21.397,2.1270333,13.003955
20060617193000,168.8125,117.55527,268.50262,1012,20.215806,2.0684516,13.279665
20060617195959,168.83333,60.752716,266.87998,1012,19.547586,1.5075172,13.380892
20060617202959,168.85416,20.599766,265.86226,1012,18.025333,1.5345,13.438063
20060617210000,168.875,0,264.29056,1012,16.671935,1.9360323,13.375102
20060617212959,168.89583,0,263.58505,1012,15.882069,1.7651379,13.350361
20060617215959,168.91666,0,263.27086,1012,15.559333,1.5801333,13.338422
20060617223000,168.9375,0,262.93044,1012,14.571935,1.2058065,13.228091
20060617225959,168.95833,0,263.78293,1012.6552,15.138621,1.4687586,13.01575
20060617232959,168.97916,0,264.69005,1012.7,15.237,1.3891,12.868772
20060618000000,169,0,264.89451,1012,15.044194,1.576871,12.822091
20060618002959,169.02083,0,264.96765,1012,15.115862,1.9678276,12.964187
20060618005959,169.04166,0,264.49101,1012,15.130333,1.8620667,12.991133
20060618013000,169.0625,0,264.55694,1012,15.008387,2.0104194,12.973174
20060618015959,169.08333,0,264.10157,1011.1379,14.815517,2.352,12.91644
20060618022959,169.10416,0,263.25019,1011,14.451667,2.4928,12.860856
20060618030000,169.125,0,263.65778,1011,14.285484,2.6200968,12.859635
20060618032959,169.14583,0,264.16436,1011,14.065172,2.4295517,12.821338
20060618035959,169.16666,0,265.30133,1011,14.070667,2.4570333,12.734905
20060618043000,169.1875,9.5528778,265.62011,1010.7097,13.889355,2.8256129,12.533249
20060618045959,169.20833,30.487643,264.99321,1010,14.321379,2.9984483,12.203007
20060618052959,169.22916,56.925374,266.13892,1010,14.880333,2.6618667,11.962523
20060618060000,169.25,128.18312,267.68139,1010,15.746774,2.7812903,11.965436
20060618062959,169.27083,115.08627,274.45222,1010,16.612759,2.4302759,12.22502
20060618065959,169.29166,152.01799,279.14648999999997,1010,16.802,2.3931667,12.51155
20060618073000,169.3125,182.50362,284.39828,1010,17.498065,2.4907742,13.169228
20060618075959,169.33333,262.08652,288.73995,1010,18.054138,2.3316207,13.873416
20060618082959,169.35416,239.99535,294.95207,1010,18.821667,2.1792,14.434396
20060618090000,169.375,264.39226,296.98575,1010,19.286774,2.0353548,14.950576
20060618092959,169.39583,388.25412,298.71823,1010,20.362414,2.2752069,15.271941
20060618095959,169.41666,479.21927,295.41069,1009.9333,21.579667,1.9612667,15.255885
20060618103000,169.4375,714.89166,305.39614,1009,22.667742,2.4392581,15.084471
20060618105959,169.45833,399.58463,311.40577,1009,22.942759,2.6184138,14.598833
20060618112959,169.47916,565.37387,310.14988,1009,23.816,2.4085667,14.725972
20060618120000,169.5,765.41334,306.10969,1009,24.100968,3.5921613,14.07031
20060618122959,169.52083,892.39927,305.94764,1008.8276,25.093103,3.3787931,13.595897
20060618125959,169.54166,875.99782,306.87,1008,25.495333,3.5969333,13.79148
20060618133000,169.5625,874.4827,310.05224,1008,25.941613,3.053871,13.876749
20060618135959,169.58333,661.29402,311.18702,1007.9655,25.915517,3.5377241,14.19042
20060618142959,169.60416,746.62759,314.68032,1007.0333,26.635333,3.2946667,14.684572
20060618150000,169.625,624.49191,314.23172,1007,26.862258,2.8473226,14.648851
20060618152959,169.64583,641.66683,311.74018,1007,26.94931,4.1716207,13.56261
20060618155959,169.66666,684.5985,309.48071,1006.9333,27.261,3.8168333,13.618286
20060618163000,169.6875,578.86207,309.90688,1006,27.789355,3.1122903,14.03619
20060618165959,169.70833,476.35932,310.24428,1006,27.518276,3.5105517,14.09659
20060618172959,169.72916,343.30014,309.51772,1006,27.465333,2.6569333,14.00403
20060618180000,169.75,285.82752,309.81238,1005.0968,27.565484,2.5136774,14.003888
20060618182959,169.77083,163.99769,309.23426,1005,27.007931,2.3589655,13.823069
20060618185959,169.79166,181.21466,313.1557,1005,27.216,0.90553333,14.314881
20060618193000,169.8125,70.484339,303.65826,1005,26.444516,2.0096774,15.350458
20060618195959,169.83333,24.794106,295.85712,1005,23.203103,2.7272414,17.09782
20060618202959,169.85416,12.247434,295.51274,1005.4,22.234,2.4668667,17.514325
20060618210000,169.875,0,295.05557,1006,21.374194,1.6709355,17.740464
20060618212959,169.89583,0,304.85149,1006,20.593793,1.8245862,17.27983
20060618215959,169.91666,0,299.69175,1006,20.316667,1.7105667,17.179147
20060618223000,169.9375,0,298.41364,1006,20.012258,1.814871,16.795746
20060618225959,169.95833,0,298.36501,1006,20.491724,1.6377241,16.374506
20060618232959,169.97916,0,300.24979,1005.2,20.491333,1.5722,16.01496
20060619000000,170,0,305.08207,1005,20.380645,1.7535161,15.623094
20060619002959,170.02083,0,308.26321,1005,20.852414,1.6555172,15.50286
20060619005959,170.04166,0,289.43046,1005,19.372333,2.0767333,16.326713
20060619013000,170.0625,0,286.12632,1005,18.279677,2.8002258,16.14596
20060619015959,170.08333,0,285.58045,1004.9655,18.547931,2.6105172,15.771104
20060619022959,170.10416,0,285.87094,1004,18.768667,2.7209667,15.726151
20060619030000,170.125,0,285.65956,1004,18.345484,2.732,15.966074
20060619032959,170.14583,0,285.97179,1004,18.232759,2.881069,15.690361
20060619035959,170.16666,0,282.56003,1004,18.149333,3.2101,15.564037
20060619043000,170.1875,6.3056496,280.86785,1004,17.866774,3.551,16.166356
20060619045959,170.20833,24.014271,280.04037,1003.7241,17.432069,3.6081034,16.870502
20060619052959,170.22916,52.202479,281.10906,1003,17.817667,3.5970667,17.434934
20060619060000,170.25,102.47027,282.71044,1003,18.477742,2.9833548,17.811722
20060619062959,170.27083,99.262289,286.55642,1003,19.116897,3.4234483,18.279897
20060619065959,170.29166,138.99504,292.18182,1003,20.690667,2.8954333,18.637799
20060619073000,170.3125,221.08707,297.67517,1003,21.581935,3.6953871,19.333163
20060619075959,170.33333,60.264814,314.84137,1003.2759,21.065862,4.3425172,19.562866
20060619082959,170.35416,228.1484,319.39768,1003.9,21.101,3.876,19.514529
20060619090000,170.375,285.16918,327.36551,1004,22.209355,3.9753548,20.041385
20060619092959,170.39583,97.582411,343.59555,1004,22.12,4.0583103,20.203215
20060619095959,170.41666,118.11958,334.42111,1004,21.563,3.0443,20.174867
20060619103000,170.4375,283.23198,335.71601,1004.9032,20.731935,2.8757419,20.544927
20060619105959,170.45833,372.98741,327.95727,1005,21.313793,3.5972759,19.30749
20060619112959,170.47916,769.26234,314.07155,1005,21.697667,3.3305667,18.84841
20060619120000,170.5,645.77596,325.04202,1005,22.569355,4.1483548,13.490952
20060619122959,170.52083,741.99819,317.75378,1005,23.051034,3.5932414,13.085897
20060619125959,170.54166,492.77278,332.66708,1005,22.255,3.8244667,11.862565
20060619133000,170.5625,734.4968,309.76716,1005,23.092258,2.8527742,12.902056
20060619135959,170.58333,393.56077,332.91908,1005.5172,22.549655,4.0527241,13.798954
20060619142959,170.60416,383.49846,335.34547,1006,21.938667,3.8457,14.114987
20060619150000,170.625,727.20787,299.19165,1006,22.674516,3.9680323,13.212287
20060619152959,170.64583,722.30029,293.23926,1006,22.932759,3.9499655,13.696894
20060619155959,170.66666,673.03701,297.01921,1006,23.044,3.1423333,14.340702
20060619163000,170.6875,493.17145,296.31524,1006,22.369032,3.2659677,14.275173
20060619165959,170.70833,463.68868,297.17417,1006,22.508621,2.9714828,14.710383
20060619172959,170.72916,418.35219,285.57038,1006,22.389333,3.2032667,14.478231
20060619180000,170.75,357.23951,282.17141,1006,22.317742,2.5967419,14.649046
20060619182959,170.77083,270.3529,276.74867,1006,21.799655,2.9801034,13.518555
20060619185959,170.79166,144.83503,273.06791,1006.3,21.147333,2.5669333,13.397074
20060619193000,170.8125,30.404354,274.27409,1007,19.677419,2.194871,13.849083
20060619195959,170.83333,29.700737,286.69952,1007,19.047931,2.1688621,14.11601
20060619202959,170.85416,13.515423,298.96109,1007,18.721667,2.3147333,14.261342
20060619210000,170.875,5.9805142,293.79247,1007.7097,18.251935,2.0859677,14.352165
20060619212959,170.89583,0,289.50997,1008,17.825517,2.0218621,14.517871
20060619215959,170.91666,0,274.10356,1008,17.390667,2.6625,14.603803
20060619223000,170.9375,0,281.9214,1008,17.284516,2.5710323,14.621357
20060619225959,170.95833,0,310.93651,1008,17.045517,2.3682759,14.655502
20060619232959,170.97916,0,301.4173,1008,17.227667,2.8266667,14.456147
20060620000000,171,0,266.59377,1008,16.755484,1.9824194,14.300152
20060620002959,171.02083,0,265.67561,1008,16.061379,2.3443103,14.226135
20060620005959,171.04166,0,265.84288,1008,15.771333,2.6032667,14.205964
20060620013000,171.0625,0,261.6646,1008,15.346774,2.2716774,14.31711
20060620015959,171.08333,0,265.54375,1008,15.126552,2.4474138,14.486139
20060620022959,171.10416,0,278.42725,1008,15.169667,2.5668667,14.661026
20060620030000,171.125,0,298.99594,1008,15.263548,2.6709677,14.843121
20060620032959,171.14583,0,314.28186,1008,15.606552,2.6966552,15.001005
20060620035959,171.16666,0,315.81891,1008,15.962,2.8902667,15.264514
20060620043000,171.1875,2.6671061,312.31724,1008,16.286452,2.6492903,15.417749
20060620045959,171.20833,9.1592901,312.05375,1008,16.367241,2.4387931,15.489557
20060620052959,171.22916,30.633396,307.56654,1008,16.466667,2.5082667,15.451529
20060620060000,171.25,41.562025,312.05557,1008,16.724839,2.6253548,14.780081
20060620062959,171.27083,58.083902,314.40271,1008,16.876897,2.7729655,14.522834
20060620065959,171.29166,105.29518,308.4366,1008,17.056,3.1695333,14.803936
20060620073000,171.3125,175.62732,295.15276,1008,17.452903,4.0144839,14.433748
20060620075959,171.33333,372.00419,284.83635,1008,17.993793,3.5186897,14.127641
20060620082959,171.35416,569.59551,269.70047,1008,18.530667,4.8894,13.654746
20060620090000,171.375,608.91237,273.72063000000003,1008.0323,19.236452,4.3893871,13.585728
20060620092959,171.39583,630.73028,291.85531,1009,20.018621,3.768,13.687465
20060620095959,171.41666,671.83268,282.52054,1008.9333,19.724333,4.746,13.285312
20060620103000,171.4375,583.44521,312.42036,1009,20.145161,4.9521935,13.428114
20060620105959,171.45833,509.72454,316.40984,1009,19.896207,4.0393103,13.637492
20060620112959,171.47916,301.2693,320.59135,1009,19.3,4.8801,13.456324
20060620120000,171.5,554.40603,312.92302,1009,19.712581,4.9819677,13.589437
20060620122959,171.52083,393.38905,317.13678,1009,20.146552,4.4613793,13.628373
20060620125959,171.54166,292.89763,323.78148,1009,19.926,3.2598333,13.698304
20060620133000,171.5625,455.50148,316.27649,1009,20.394516,2.9568065,13.889098
20060620135959,171.58333,670.51332,315.62868,1009,21.227241,2.5537241,13.900043
20060620142959,171.60416,501.91261,312.33719,1009,21.030333,2.9079,13.928122
20060620150000,171.625,511.01579,310.00487,1009,20.959032,3.1423871,14.144774
20060620152959,171.64583,636.90566,298.46402,1008.8966,21.428966,3.5039655,13.949855
20060620155959,171.66666,394.61728,307.46167,1008.1,21.085333,3.5538667,13.950556
20060620163000,171.6875,459.18689,307.5343,1008,21.083871,3.9974839,13.952151
20060620165959,171.70833,358.67359,299.84195,1008,20.984483,3.9271724,13.871815
20060620172959,171.72916,440.50195,283.09079,1007.0667,21.393333,3.3218333,13.833197
20060620180000,171.75,315.13444,281.03032,1007,21.102258,3.5585161,13.747253
