timestep counter year t Rntot lEtot Htot Rnctot lEctot Hctot Actot Rnstot lEstot Hstot Gtot Resp aPAR aPAR_Cab faPAR aPAR_energyunits fluortot fluor_yield
""        ""      ""  JulianDay  Wm-2   Wm-2 Wm-2 Wm-2 Wm-2   Wm-2 umolm-2s-1 Wm-2 Wm-2 Wm-2 Wm-2 umolm-2s-1 umolm-2s-1 umolumol-1 Wm-2  W m-2 WW^{-1}
      110        41      2006  169.5833    395.89    265.41     89.21    278.51    201.34     77.15     14.45    117.38     64.07     12.06     41.08      0.00   1265.93   1005.39      0.87    277.52   0.3689  0.001329
      111        40      2006  169.6042    456.40    275.35    135.35    326.58    205.28    121.29     13.88    129.82     70.07     14.06     45.44      0.00   1439.30   1143.22      0.88    315.49   0.4147  0.001315
      112        37      2006  169.6250    361.47    261.95     63.17    257.84    201.92     55.91     13.93    103.63     60.03      7.26     36.27      0.00   1214.49    964.82      0.88    266.19   0.3577  0.001344
      113        42      2006  169.6458    368.38    251.35     80.47    263.80    188.23     75.57     13.31    104.58     63.12      4.90     36.60      0.00   1260.92   1001.90      0.89    276.33   0.3707  0.001341
      114        41      2006  169.6667    389.71    240.76    112.06    284.25    176.92    107.33     12.34    105.46     63.85      4.73     36.91      0.00   1360.42   1081.18      0.90    298.09   0.3978  0.001334
      115        38      2006  169.6875    306.39    232.10     45.35    223.08    177.01     46.08     12.22     83.31     55.10     -0.73     29.16      0.00   1165.09    926.15      0.92    255.25   0.3490  0.001367
      116        37      2006  169.7083    231.63    217.44     -7.69    167.79    169.88     -2.07     12.19     63.84     47.56     -5.62     22.34      0.00    970.50    771.64      0.93    212.59   0.2995  0.001409
      117        32      2006  169.7292    133.05    179.76    -60.65     90.50    142.39    -51.83     11.02     42.55     37.36     -8.82     14.89      0.00    707.21    562.41      0.94    154.89   0.2278  0.001470
      118        33      2006  169.7500     89.07    157.93    -79.66     55.36    124.17    -68.74      9.95     33.71     33.77    -10.92     11.80      0.00    594.53    472.87      0.95    130.20   0.1971  0.001514
      119        35      2006  169.7708      3.14    106.19   -109.39    -17.80     78.39    -96.12      7.29     20.94     27.80    -13.27      7.33      0.00    343.32    273.09      0.95     75.18   0.1211  0.001610
      120        60      2006  169.7917     22.13     84.79    -68.01      6.78     68.86    -62.07      7.27     15.35     15.94     -5.93      5.37      0.00    380.55    302.72      0.96     83.33   0.1344  0.001612
      121        34      2006  169.8125    -66.57     50.79   -119.88    -76.70     30.71   -107.33      3.71     10.13     20.08    -12.55      3.55      0.00    148.02    117.74      0.96     32.41   0.0564  0.001739
      122        35      2006  169.8333    -96.24     20.47   -116.55    -98.76      6.87   -105.56      1.38      2.51     13.60    -10.99      0.88      0.00     52.00     41.36      0.96     11.39   0.0213  0.001874
      123        34      2006  169.8542    -99.61     12.38   -111.02    -99.62      2.23   -101.79      0.52      0.01     10.15     -9.23      0.00      0.00     25.67     20.42      0.96      5.62   0.0110  0.001949
      124        30      2006  169.8750    -98.28      5.76   -101.93    -95.17      0.02    -95.10     -0.63     -3.11      5.75     -6.83     -1.09      0.00      0.00      0.00       NaN      0.00   0.0000       NaN
      125        30      2006  169.8958    -88.70      5.94    -92.83    -86.45      0.02    -86.38     -0.62     -2.25      5.92     -6.45     -0.79      0.00      0.00      0.00       NaN      0.00   0.0000       NaN
      126        29      2006  169.9167    -90.70      5.22    -93.76    -87.67      0.02    -87.59     -0.61     -3.03      5.20     -6.18     -1.06      0.00      0.00      0.00       NaN      0.00   0.0000       NaN
      127        30      2006  169.9375    -91.23      5.51    -94.73    -88.43      0.02    -88.36     -0.60     -2.79      5.50     -6.37     -0.98      0.00      0.00      0.00       NaN      0.00   0.0000       NaN
      128        30      2006  169.9583    -91.64      6.15    -95.96    -89.36      0.02    -89.29     -0.60     -2.28      6.13     -6.67     -0.80      0.00      0.00      0.00       NaN      0.00   0.0000       NaN
      129        30      2006  169.9792    -89.51      6.40    -94.22    -87.63      0.03    -87.55     -0.60     -1.89      6.37     -6.67     -0.66      0.00      0.00      0.00       NaN      0.00   0.0000       NaN
      130        31      2006  170.0000    -86.82      7.50    -93.02    -85.99      0.03    -85.94     -0.61     -0.82      7.46     -7.08     -0.29      0.00      0.00      0.00       NaN      0.00   0.0000       NaN
