timestep,counter,year,t,Rntot,lEtot,Htot,Rnctot,lEctot,Hctot,Actot,Rnstot,lEstot,Hstot,Gtot,Resp,aPAR,aPAR_Cab,faPAR,aPAR_energyunits,iPAR,fluortot fluor_yield
#-,-,-,JulianDay,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,umol m-2 s-1,umol m-2 s-1,umol umol-1,-,W m-2,umol m-2 s-1,W m-2 WW^{-1}
22.0000,9.0000,2006.0000,169.4375,438.2128,192.5799,122.6338,293.0330,166.5934,126.5493,17.8339,145.1799,25.9865,-3.9156,123.1167,0.0000,1380.0832,1059.1485,0.8772,302.5002,1573.3522,0.5472,0.0018
23.0000,5.0000,2006.0000,169.4583,206.7790,144.9385,0.2316,124.9166,120.0295,5.0214,15.6252,81.8624,24.9090,-4.7898,61.7873,0.0000,765.3139,587.2555,0.8701,167.7663,879.5241,0.2995,0.0018
24.0000,6.0000,2006.0000,169.4792,329.4259,186.9318,45.4075,208.3829,158.1003,50.3187,17.4220,121.0430,28.8315,-4.9112,97.0993,0.0000,1076.5450,825.9846,0.8650,236.0100,1244.5507,0.4189,0.0018
25.0000,6.0000,2006.0000,169.5000,477.9417,212.8813,140.4912,314.7589,172.2454,142.5395,17.2783,163.1828,40.6359,-2.0483,124.6512,0.0000,1451.8819,1113.8838,0.8617,318.3107,1684.9906,0.5725,0.0018
26.0000,6.0000,2006.0000,169.5208,566.8570,215.8899,206.5261,374.0507,166.9081,206.9569,15.0357,192.8063,48.9819,-0.4309,144.2929,0.0000,1690.0952,1296.6044,0.8603,370.5440,1964.5873,0.6788,0.0018
27.0000,6.0000,2006.0000,169.5417,553.4973,220.9126,200.7750,367.3493,167.5653,199.5436,14.9279,186.1480,53.3472,1.2314,131.5938,0.0000,1659.8714,1273.4290,0.8607,363.9152,1928.4649,0.6660,0.0018
28.0000,6.0000,2006.0000,169.5625,549.2092,218.9855,202.6153,365.0889,164.0590,200.8034,13.9474,184.1203,54.9265,1.8119,127.4014,0.0000,1661.4980,1274.7414,0.8631,364.2590,1925.0521,0.6706,0.0018
29.0000,6.0000,2006.0000,169.5833,391.7319,219.6572,92.0137,259.6680,167.7930,91.8966,15.7881,132.0639,51.8642,0.1171,80.0975,0.0000,1262.3025,968.5516,0.8672,276.7247,1455.6425,0.4972,0.0018
30.0000,6.0000,2006.0000,169.6042,451.3776,217.1212,135.2385,302.1479,164.9828,136.9196,14.2345,149.2297,52.1383,-1.6812,98.7838,0.0000,1435.1587,1101.3292,0.8733,314.5896,1643.3104,0.5767,0.0018
31.0000,7.0000,2006.0000,169.6250,355.9558,209.5104,71.7729,236.6569,161.5891,75.1688,14.3288,119.2990,47.9213,-3.3959,74.7706,0.0000,1210.9963,929.4590,0.8812,265.4228,1374.2974,0.4832,0.0018
